show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Silent Storm,Guillermo del Toro,Shah Rukh Khan,Mexico,"February 11, 2021",1995,TV-14,74 min,Action & Adventure,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s2,Movie,The Forgotten Empire,Takashi Miike,Lupita Nyong'o,Germany,"January 14, 2020",2007,PG-13,167 min,International TV Shows,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s3,Movie,The Secret Whisper,Quentin Tarantino,,France,"October 08, 2021",2006,PG-13,163 min,"Romantic TV Shows, Documentaries","In a race against time, a dedicated team unravels a mystery that threatens everything."
s4,Movie,The Wild Symphony,David Fincher,"Tom Hanks, Lupita Nyong'o, Denzel Washington, Meryl Streep",Italy,"November 23, 2015",2004,R,118 min,"Anime Series, TV Comedies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s5,Movie,The Secret Storm,,,United Kingdom,"September 29, 2017",2000,TV-PG,118 min,"Romantic TV Shows, Horror Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s6,Movie,The Dark Legacy,Steven Spielberg,"Song Kang-ho, Mahershala Ali",Australia,"July 12, 2018",2003,TV-PG,120 min,"Anime Series, International Movies, Sci-Fi & Fantasy","When an unexpected event turns their life upside down, an unlikely hero must step up."
s7,Movie,The Sacred Mirage,Spike Lee,"Gong Yoo, Daniel Kaluuya, Song Kang-ho, Margot Robbie",United Kingdom,"January 08, 2016",1993,R,89 min,"Thrillers, International TV Shows, Action & Adventure","In a race against time, a dedicated team unravels a mystery that threatens everything."
s8,Movie,The Frozen Kingdom,Spike Lee,"Leonardo DiCaprio, Dev Patel, Pedro Pascal, Viola Davis",Germany,"August 15, 2023",2011,R,107 min,"Thrillers, Anime Series",A compelling narrative following characters as they navigate challenges in a changing world.
s9,TV Show,The Endless Kingdom,Anurag Kashyap,,Japan,"September 10, 2020",2002,TV-14,3 Seasons,Romantic TV Shows,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s10,TV Show,The Silent Symphony,,,France,"April 29, 2024",2009,TV-14,1 Season,TV Action & Adventure,A compelling narrative following characters as they navigate challenges in a changing world.
s11,Movie,The Rising Journey,Takashi Miike,Shah Rukh Khan,Germany,"December 01, 2020",2017,G,139 min,"Romantic Movies, Children & Family Movies, Crime TV Shows",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s12,Movie,The Frozen Kingdom,Pedro Almodóvar,,India,"August 06, 2021",2004,G,70 min,Comedies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s13,Movie,The Dark Whisper,Martin Scorsese,"Scarlett Johansson, Mahershala Ali, Dev Patel, Javier Bardem",United Kingdom,"November 23, 2024",2020,G,170 min,"International TV Shows, Romantic Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s14,Movie,The Velvet Valley,Alfonso Cuarón,"Penélope Cruz, Pedro Pascal, Meryl Streep",Mexico,"July 08, 2019",2011,R,101 min,Romantic Movies,"A heartwarming story of friendship, love, and perseverance across generations."
s15,Movie,The Velvet Horizon,Spike Lee,"Scarlett Johansson, Denzel Washington, Penélope Cruz",Germany,"April 25, 2022",2024,PG-13,81 min,Thrillers,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s16,Movie,The Secret Dream,Steven Spielberg,Song Kang-ho,,"October 17, 2023",2019,NC-17,124 min,"Romantic TV Shows, Docuseries, International Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s17,Movie,The Dark Frontier,Takashi Miike,,United States,"May 06, 2020",2022,PG,77 min,"Action & Adventure, Thrillers, TV Action & Adventure","A heartwarming story of friendship, love, and perseverance across generations."
s18,Movie,The Broken Dream,Quentin Tarantino,"Scarlett Johansson, Daniel Kaluuya, Cillian Murphy, Meryl Streep",South Korea,"May 04, 2021",2023,TV-MA,103 min,TV Dramas,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s19,Movie,The Hidden Truth,Pedro Almodóvar,"Zendaya, Denzel Washington",,"April 25, 2021",1996,R,138 min,Reality TV,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s20,Movie,The Crimson Journey,Guillermo del Toro,"Florence Pugh, Priyanka Chopra",Germany,"November 10, 2021",2023,PG-13,155 min,"Children & Family Movies, Documentaries, International Movies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s21,Movie,The Lost Mirage,Greta Gerwig,"Florence Pugh, Cillian Murphy",France,"February 10, 2022",2006,TV-PG,102 min,Action & Adventure,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s22,Movie,The Endless Echo,Christopher Nolan,"Zendaya, Shah Rukh Khan",Japan,"December 15, 2019",2017,PG-13,84 min,International Movies,"A heartwarming story of friendship, love, and perseverance across generations."
